favorite_color,excitement,seat_comfort,ucsd_year,ucsd_major,credits,hr_physical,hr_online,hr_reading,sex
Naples yellow,Slightly excited,Bad,2,Physical Sciences,20,0,0,2,F
Green,Slightly excited,Meh,2,Engineering,16,1,1,4,M
Blue,Slightly excited,Meh,3,Physical Sciences,20,2,1,15,M
Green,Slightly excited,Pretty good,3,Engineering,12,0,2.5,2,M
Blue,Very excited,Bad,2,Engineering,16,0,1.5,4,M
Red,Slightly excited,Meh,2,Engineering,16,1,1,1,M
Green,Slightly excited,Meh,3,Engineering,14,0.5,1,2,F
Blue,Super stoked,Meh,3,Physical Sciences,12,2,2,4,M
Blue,Very excited,Meh,2,Engineering,20,0,2,2,M
blue-green,Slightly excited,Pretty good,3,Engineering,20,2,1,4,M
Blue,Slightly excited,Bad,3,Engineering,14,0,16,20,M
red,Slightly excited,Meh,2,Engineering,14,0 hours,2 hours,8 hours,M
green,Slightly excited,Meh,4,Engineering,20,10-12,4-5,2 hours,M
Purple,Slightly excited,Meh,4,Engineering,12,1,0,6,M
Orange,Slightly excited,Meh,2,Physical Sciences,18,0,1,2,F
Pink,Slightly excited,Pretty good,1,Engineering,14,1,2,5,F
Green,Slightly excited,Bad,3,Data Science,16,0,2,3,M
Blue,Slightly excited,Pretty good,3,Engineering,12,3,2,3,M
Gold,Slightly excited,Meh,3,Physical Sciences,12,1,1,6,M
Orange,Slightly excited,Meh,1,Data Science,16,1,1,3,M
Turquoise,Slightly excited,Bad,2,Engineering,16,<1,2,1,M
Purple,Slightly excited,Pretty good,3,Engineering,18,0,2,3,M
Red,Slightly excited,Meh,4,Biological Sciences,21,0,2,3,M
Orange,Very excited,Pretty good,2,Data Science,16,1,1,1,M
Grey,Slightly excited,Bad,2,Data Science,20,0,0.5,10,M
Pink,Slightly excited,Meh,2,Data Science,16,3,1,0.5,M
pink,Slightly excited,Pretty good,2,Engineering,24,0,1,7,F
Blue,Slightly excited,Pretty good,3,Engineering,16,1,2,2,M
Blue,Slightly excited,Meh,3,Engineering,18,0.5,0,2,M
Dark red,Very excited,Pretty good,1,Engineering,16,sometimes 1 hour,0,3+,F
pink,Very excited,Awful,3,Data Science,16,4,1,2,F
